Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,96542,96542,10000,2025-06-14,1
2,665557,665557,10000,2025-12-21,1
3,457272,457272,10000,2025-01-27,1
4,273543,273543,10000,2025-09-28,1
5,673295,673295,10000,2025-11-21,1
6,232285,232285,10000,2025-07-28,1
7,167983,167983,10000,2025-12-21,1
8,871359,871359,10000,2025-07-07,1
9,344928,344928,10000,2025-11-14,1
10,645752,645752,10000,2025-08-07,1
11,84098,84098,10000,2025-04-14,1
12,551448,551448,10000,2025-06-07,1
13,979230,979230,10000,2025-10-07,1
14,291502,291502,10000,2025-12-14,1
15,483300,483300,10000,2025-06-14,1
16,705573,705573,10000,2025-04-21,1
17,800866,800866,10000,2025-09-07,1
18,559012,559012,10000,2025-06-21,1
19,473086,473086,10000,2025-01-27,1
20,51928,51928,10000,2025-10-14,1
21,543610,543610,10000,2025-01-27,1
22,520967,520967,10000,2025-01-13,1
23,903658,903658,10000,2025-11-21,1
24,171925,171925,10000,2025-12-07,1
25,693881,693881,10000,2025-12-14,1
26,758132,758132,10000,2025-07-21,1
27,329691,329691,10000,2025-06-07,1
28,630077,630077,10000,2025-05-14,1
29,27783,27783,10000,2025-08-21,1
30,98824,98824,10000,2025-03-21,1
31,473301,473301,10000,2025-07-14,1
32,676326,676326,10000,2025-09-07,1
33,192114,192114,10000,2025-09-07,1
34,710739,710739,10000,2025-03-28,1
35,371573,371573,10000,2025-08-14,1
36,289104,289104,10000,2025-06-21,1
37,264974,264974,10000,2025-07-21,1
38,550775,550775,10000,2025-07-28,1
39,641871,641871,10000,2025-09-21,1
40,196608,196608,10000,2025-02-20,1
41,163395,163395,10000,2025-03-28,1
42,799751,799751,10000,2025-02-27,1
43,313573,313573,10000,2025-12-28,1
44,169497,169497,10000,2025-05-28,1
45,742189,742189,10000,2025-09-07,1
46,105561,105561,10000,2025-11-21,1
47,163063,163063,10000,2025-09-07,1
48,164763,164763,10000,2025-05-28,1
49,592227,592227,10000,2025-10-07,1
50,612879,612879,10000,2025-02-27,1
51,717782,717782,10000,2025-07-28,1
52,280159,280159,10000,2025-03-14,1
53,761054,761054,10000,2025-07-28,1
54,26260,26260,10000,2025-01-20,1
55,350208,350208,10000,2025-04-14,1
56,37996,37996,10000,2025-03-28,1
57,650057,650057,10000,2025-05-14,1
58,195967,195967,10000,2025-08-28,1
59,435587,435587,10000,2025-06-14,1
60,265921,265921,10000,2025-12-07,1
61,960289,960289,10000,2025-03-28,1
62,82434,82434,10000,2025-09-21,1
63,427514,427514,10000,2025-04-14,1
64,575833,575833,10000,2025-11-14,1
65,341753,341753,10000,2025-12-21,1
66,169336,169336,10000,2025-08-28,1
67,637453,637453,10000,2025-10-07,1
68,259008,259008,10000,2025-08-07,1
69,619752,619752,10000,2025-11-28,1
70,836299,836299,10000,2025-09-07,1
71,738550,738550,10000,2025-06-28,1
72,639132,639132,10000,2025-05-21,1
73,369885,369885,10000,2025-03-07,1
74,150102,150102,10000,2025-12-14,1
75,24580,24580,10000,2025-11-28,1
76,461969,461969,10000,2025-05-14,1
77,435438,435438,10000,2025-01-13,1
78,79009,79009,10000,2025-06-21,1
79,392487,392487,10000,2025-03-28,1
80,276883,276883,10000,2025-08-28,1
81,446515,446515,10000,2025-01-27,1
82,467461,467461,10000,2025-08-28,1
83,364385,364385,10000,2025-10-07,1
84,339887,339887,10000,2025-02-27,1
85,386594,386594,10000,2025-11-28,1
86,69943,69943,10000,2025-07-14,1
